CO (ppm),PM10 (µg/m3),NO2 (ppb),Suhu (°C),Kelembaban (%),Kecepatan Angin (m/s),Kategori Kualitas Udara
6.9,54.5,98.8,25.1,67.0,3.5,Tidak Sehat
3.7,77.3,5.0,25.8,74.3,2.7,Sedang
3.6,52.5,54.9,29.5,74.2,2.8,Sedang
4.3,41.4,26.0,25.6,94.7,1.4,Sedang
0.1,52.4,36.8,29.2,61.1,1.6,Sedang
1.2,60.9,119.3,24.6,80.1,4.3,Tidak Sehat
8.4,51.0,5.0,30.1,89.9,1.8,Tidak Sehat
9.1,50.8,47.6,24.9,95.0,4.2,Tidak Sehat
4.4,36.0,54.0,29.4,71.0,2.3,Sedang
6.4,36.7,72.6,29.6,79.9,2.5,Sedang
5.8,21.9,42.9,26.3,80.7,3.6,Sedang
12.7,85.0,49.2,29.5,77.0,3.8,Tidak Sehat
7.8,25.1,28.3,28.7,74.0,2.4,Sedang
4.7,36.1,48.1,26.7,79.4,2.1,Sedang
2.6,35.6,29.7,25.5,50.0,2.4,Baik
1.0,67.9,58.6,23.1,81.8,2.8,Sedang
5.5,44.1,28.9,28.9,76.3,3.4,Sedang
3.1,75.0,51.3,24.1,72.8,2.5,Sedang
1.4,36.5,39.1,28.2,95.0,3.1,Baik
3.4,55.6,73.8,27.3,68.3,4.1,Sedang
2.3,33.3,38.5,29.7,71.0,2.9,Baik
9.2,92.9,5.0,27.2,94.9,2.8,Tidak Sehat
7.2,26.2,77.9,27.2,66.7,1.0,Sedang
5.0,56.2,12.8,29.8,69.5,0.5,Sedang
8.7,62.7,20.4,28.8,73.5,2.9,Tidak Sehat
5.2,58.3,22.1,28.8,83.4,2.4,Sedang
2.8,46.3,81.2,29.2,77.1,2.0,Tidak Sehat
8.8,47.4,5.0,24.2,62.1,2.7,Tidak Sehat
6.3,50.9,134.1,29.9,69.7,2.4,Tidak Sehat
2.4,47.1,71.7,29.5,68.9,3.6,Sedang
4.5,69.3,46.7,25.5,74.2,2.6,Sedang
2.8,94.2,38.4,27.4,79.3,1.8,Sedang
1.5,38.9,48.6,27.9,79.2,3.5,Sedang
7.3,22.6,55.6,27.7,57.2,2.3,Sedang
9.8,48.2,59.4,28.8,85.6,3.0,Tidak Sehat
1.5,101.6,56.7,31.6,77.5,2.0,Sedang
6.4,33.9,42.7,30.7,88.8,1.9,Sedang
3.4,82.8,34.1,24.7,79.4,2.6,Sedang
3.8,83.6,35.5,29.6,86.0,2.5,Sedang
3.5,38.9,34.2,31.3,79.7,3.0,Baik
2.8,61.4,74.0,29.0,88.5,2.2,Sedang
5.1,82.6,57.8,30.7,80.2,0.7,Sedang
2.9,42.4,5.0,33.0,74.0,2.1,Baik
5.7,45.9,59.7,30.6,95.0,3.3,Sedang
4.9,38.4,45.8,28.6,83.9,2.2,Sedang
4.4,29.7,39.4,30.6,80.7,2.3,Sedang
2.7,37.0,28.3,28.4,62.2,3.5,Baik
3.6,25.5,73.7,28.1,62.1,1.8,Sedang
6.9,50.7,68.4,27.1,77.9,1.0,Sedang
6.3,34.6,16.8,31.9,76.5,2.3,Sedang
2.6,54.7,52.2,26.0,68.9,2.0,Sedang
5.2,18.9,10.9,31.8,76.4,1.5,Sedang
6.9,56.6,5.0,29.2,90.9,2.3,Sedang
0.8,66.7,21.2,24.5,82.0,3.0,Sedang
6.4,10.1,65.9,28.9,63.6,2.5,Sedang
3.3,57.5,68.6,22.7,73.9,2.8,Sedang
6.4,74.6,55.4,29.6,67.0,4.3,Sedang
3.1,25.8,61.8,30.2,71.1,2.2,Sedang
0.5,83.5,55.5,26.5,70.9,2.8,Sedang
0.9,58.4,20.8,28.3,70.2,2.0,Sedang
5.1,35.9,53.0,32.9,62.4,1.7,Sedang
5.6,48.9,64.0,26.7,73.7,1.9,Sedang
2.7,61.2,62.6,25.4,69.4,2.0,Sedang
6.6,51.5,75.7,31.7,50.0,2.9,Sedang
0.8,60.8,61.2,32.9,95.0,4.8,Sedang
4.8,31.6,50.5,28.0,85.9,1.8,Sedang
2.0,53.4,72.1,30.5,71.2,2.1,Sedang
3.4,21.7,39.2,31.4,75.2,2.4,Baik
5.1,47.8,13.5,26.1,63.3,2.9,Sedang
2.8,31.9,35.1,26.8,92.0,2.8,Baik
4.0,35.3,17.7,31.1,94.0,3.8,Baik
7.5,74.7,19.7,32.2,76.6,0.5,Sedang
3.6,71.8,35.7,29.4,85.2,0.5,Sedang
7.1,62.2,16.2,25.8,76.8,2.0,Sedang
2.2,28.2,30.8,33.0,61.6,3.6,Baik
6.3,43.7,5.0,26.7,70.9,0.9,Sedang
8.6,74.3,46.4,27.2,76.3,0.5,Tidak Sehat
0.1,52.8,40.0,28.9,70.5,3.1,Sedang
3.0,96.4,15.5,31.9,72.8,2.7,Sedang
6.4,57.9,59.8,30.1,74.1,1.4,Sedang
4.5,53.8,68.1,29.0,74.2,1.5,Sedang
5.9,43.8,5.0,29.2,75.5,1.5,Sedang
3.5,52.7,17.1,28.1,64.4,2.6,Sedang
5.2,47.0,16.9,29.4,67.8,1.9,Sedang
4.6,64.2,11.8,22.0,62.2,3.0,Sedang
7.9,69.1,64.9,27.3,84.8,0.5,Sedang
5.6,34.3,34.2,28.6,53.9,1.6,Sedang
5.8,23.4,32.1,25.1,86.5,1.4,Sedang
4.0,13.3,5.0,29.0,88.9,2.2,Baik
3.8,60.2,59.1,27.5,72.0,2.0,Sedang
3.9,27.9,5.0,32.4,50.0,3.3,Baik
6.0,10.0,41.8,31.9,71.4,0.6,Sedang
3.9,57.8,48.3,26.8,74.4,2.5,Sedang
5.7,99.9,80.8,27.6,64.9,3.1,Sedang
10.2,49.9,5.0,27.8,69.8,4.4,Tidak Sehat
7.2,66.8,5.0,26.9,90.3,2.0,Sedang
4.2,51.6,45.5,28.5,81.6,2.8,Sedang
8.0,48.0,94.0,26.1,65.8,0.7,Tidak Sehat
4.0,68.4,77.2,25.2,59.0,0.5,Sedang
0.1,44.2,46.3,29.6,71.7,3.3,Sedang
2.5,55.3,25.3,29.6,72.9,2.5,Sedang
0.3,56.4,64.2,26.0,80.0,3.7,Sedang
4.1,36.6,10.8,30.2,69.6,1.1,Sedang
5.0,69.8,54.3,26.4,80.1,3.0,Sedang
9.2,46.5,55.2,28.6,94.4,4.4,Tidak Sehat
5.8,34.9,71.8,30.1,83.2,2.9,Sedang
4.5,60.7,122.8,27.9,74.5,2.8,Tidak Sehat
7.1,32.0,51.8,29.1,73.2,2.5,Sedang
0.1,50.6,24.7,26.7,71.4,0.9,Baik
5.6,49.8,39.2,27.5,86.8,3.9,Sedang
6.9,71.7,5.0,27.5,68.7,1.9,Sedang
1.3,59.5,19.2,26.1,75.5,3.0,Sedang
7.9,49.5,27.7,27.6,75.5,0.9,Sedang
5.8,66.4,24.3,24.1,70.0,1.3,Sedang
4.0,77.8,44.6,26.8,61.3,3.9,Sedang
6.6,61.2,15.3,27.3,78.2,2.2,Sedang
10.7,50.2,73.6,27.4,74.4,4.0,Tidak Sehat
5.5,23.8,40.0,27.4,80.0,2.4,Sedang
5.6,28.7,39.7,27.8,69.7,0.7,Sedang
3.9,43.9,30.2,29.2,87.2,3.4,Baik
2.9,37.8,44.7,30.2,66.2,1.9,Sedang
7.1,46.3,64.8,26.4,92.1,3.2,Sedang
2.9,51.1,14.0,25.0,57.5,2.5,Sedang
5.2,60.6,20.3,25.4,79.3,1.0,Sedang
3.8,48.6,30.9,26.8,79.8,2.7,Baik
6.2,59.7,5.0,27.1,67.0,4.7,Sedang
5.8,51.3,15.4,26.1,79.2,3.0,Sedang
7.6,10.5,25.7,24.8,87.8,2.4,Sedang
3.7,31.2,66.2,26.9,52.8,3.6,Sedang
4.3,47.1,47.9,28.5,80.0,2.7,Sedang
2.6,25.8,45.8,29.5,50.1,2.7,Sedang
3.9,62.0,65.5,26.6,65.3,1.4,Sedang
5.9,80.6,35.9,27.0,91.3,2.7,Sedang
6.9,74.4,51.7,25.7,69.2,3.5,Sedang
2.7,45.7,36.9,27.9,63.3,1.7,Baik
7.2,79.8,48.0,25.9,73.0,3.9,Sedang
8.4,53.0,22.5,29.4,95.0,2.4,Tidak Sehat
6.0,43.3,5.0,23.5,56.7,1.6,Sedang
9.7,37.7,36.0,27.1,64.5,3.5,Tidak Sehat
3.1,44.0,82.7,28.8,90.0,2.2,Tidak Sehat
1.9,42.2,67.8,28.5,93.6,3.3,Sedang
0.6,53.4,69.0,34.7,74.0,2.2,Sedang
8.7,53.2,77.1,28.9,62.6,2.4,Tidak Sehat
6.6,50.1,42.7,25.5,95.0,3.0,Sedang
4.9,58.7,45.9,27.8,90.9,2.8,Sedang
5.7,73.8,21.5,23.6,81.8,0.5,Sedang
2.2,69.0,30.5,27.8,66.9,1.4,Sedang
11.1,20.3,58.5,25.9,74.5,3.4,Tidak Sehat
5.3,10.0,76.1,30.3,73.4,2.4,Sedang
5.3,68.7,35.8,26.6,78.3,2.0,Sedang
6.8,22.7,26.5,27.7,89.5,1.1,Sedang
6.2,45.5,40.0,26.4,83.8,1.4,Sedang
5.6,26.6,58.0,32.3,64.2,0.5,Sedang
3.0,14.0,5.0,27.2,88.8,2.4,Baik
6.2,60.8,5.0,32.6,78.1,1.9,Sedang
9.7,65.2,23.5,30.0,81.9,1.5,Tidak Sehat
8.4,38.5,5.0,29.2,89.7,2.4,Tidak Sehat
9.0,10.0,24.8,28.9,63.9,2.9,Tidak Sehat
3.7,39.1,35.6,29.0,74.6,4.6,Baik
2.5,57.8,26.4,23.2,69.7,1.0,Sedang
4.7,20.4,83.6,27.3,59.3,3.7,Tidak Sehat
5.1,53.7,49.8,30.1,78.5,3.5,Sedang
7.7,49.7,49.0,27.9,95.0,1.7,Sedang
0.8,61.6,58.7,24.5,56.6,2.7,Sedang
8.8,52.4,5.8,27.9,74.7,2.0,Tidak Sehat
4.6,30.5,71.2,32.3,81.4,2.7,Sedang
3.9,73.9,37.7,31.1,76.2,4.0,Sedang
2.5,46.8,60.1,27.8,73.9,3.1,Sedang
0.9,49.5,7.8,30.4,62.0,3.0,Baik
7.1,31.3,5.0,27.1,77.3,2.1,Sedang
5.2,41.1,64.5,23.7,67.4,1.0,Sedang
1.8,32.3,51.3,25.7,53.1,2.3,Sedang
1.8,46.5,12.9,31.9,86.9,3.7,Baik
4.2,84.2,13.9,27.3,84.6,1.0,Sedang
9.2,22.6,73.8,27.4,75.5,1.4,Tidak Sehat
4.4,17.7,5.0,27.3,77.3,2.6,Sedang
1.2,79.4,89.3,32.8,85.7,1.5,Tidak Sehat
4.4,45.8,13.0,32.1,77.2,1.7,Sedang
4.3,36.6,59.2,33.5,84.0,2.1,Sedang
0.1,70.8,30.1,27.6,72.0,1.1,Sedang
4.9,37.9,58.1,28.7,88.1,1.5,Sedang
4.4,86.5,23.7,24.2,78.2,3.2,Sedang
6.7,63.6,35.1,31.7,76.9,1.2,Sedang
9.6,40.2,41.2,25.1,62.3,0.9,Tidak Sehat
7.8,93.1,9.9,28.5,77.9,1.9,Sedang
4.3,37.9,62.2,25.3,66.7,3.2,Sedang
2.2,64.8,24.6,26.5,68.6,2.3,Sedang
11.4,56.0,33.1,25.9,66.8,2.0,Tidak Sehat
5.1,76.0,10.2,26.5,64.3,2.5,Sedang
5.0,81.2,5.0,26.7,95.0,0.8,Sedang
4.9,50.6,34.3,26.6,88.3,3.0,Sedang
5.5,34.9,112.4,30.1,94.2,2.9,Tidak Sehat
4.6,59.2,63.5,25.2,62.8,2.1,Sedang
3.6,36.4,39.4,28.6,75.7,3.5,Baik
3.6,90.3,32.1,31.0,62.1,1.4,Sedang
4.9,52.7,40.7,26.7,68.0,3.6,Sedang
3.6,42.7,56.4,26.2,65.8,2.7,Sedang
3.2,53.7,5.0,27.4,87.4,2.2,Sedang
5.3,23.1,73.4,30.9,71.0,2.5,Sedang
4.4,30.6,61.5,28.5,85.7,2.4,Sedang
8.8,74.0,61.5,26.7,81.0,3.7,Tidak Sehat
0.1,36.9,53.2,29.2,95.0,1.4,Sedang
7.7,29.1,40.6,25.2,60.2,1.7,Sedang
8.1,60.7,60.2,29.7,87.6,3.5,Tidak Sehat
0.1,73.7,57.8,29.0,86.5,1.9,Sedang
4.1,64.4,29.4,27.2,65.3,3.4,Sedang
4.1,69.9,22.8,25.9,85.1,4.2,Sedang
1.5,34.9,43.1,25.8,78.4,2.1,Sedang
3.1,21.6,86.5,29.3,72.7,3.2,Tidak Sehat
2.2,80.0,5.0,31.1,66.8,1.3,Sedang
9.4,43.5,5.0,26.4,67.8,3.3,Tidak Sehat
7.3,45.0,44.9,29.1,95.0,2.7,Sedang
8.2,76.6,41.5,22.8,75.0,3.0,Tidak Sehat
6.8,61.1,45.2,26.5,82.8,1.9,Sedang
2.2,59.1,47.3,27.9,67.1,0.8,Sedang
3.7,93.3,33.3,25.7,67.2,3.0,Sedang
6.2,37.1,84.7,25.7,85.8,0.5,Tidak Sehat
1.9,68.6,5.0,26.3,61.5,2.2,Sedang
6.8,51.1,15.1,28.7,70.8,3.4,Sedang
4.4,55.4,36.9,27.5,75.3,2.7,Sedang
4.1,80.6,5.0,22.4,76.1,4.4,Sedang
6.8,60.2,34.7,22.7,73.2,3.5,Sedang
6.1,60.8,89.8,26.5,79.0,1.8,Tidak Sehat
4.1,71.5,40.6,29.1,81.9,2.5,Sedang
7.9,42.7,46.9,22.0,82.3,2.5,Sedang
2.3,33.2,5.0,26.8,65.1,0.9,Baik
6.5,29.1,21.5,26.7,72.2,1.6,Sedang
6.5,10.7,28.7,31.5,86.9,1.9,Sedang
4.2,91.1,30.5,27.0,83.9,0.5,Sedang
5.8,27.9,78.4,29.0,61.3,2.5,Sedang
1.9,45.6,56.7,28.4,78.5,2.3,Sedang
7.3,44.5,6.7,22.7,55.2,0.8,Sedang
4.5,56.1,47.4,29.9,75.5,2.9,Sedang
3.7,66.3,54.9,28.5,94.0,3.2,Sedang
7.6,67.2,74.2,29.3,65.5,2.7,Sedang
3.2,38.3,87.4,35.0,66.7,2.2,Tidak Sehat
1.5,46.7,9.5,22.8,82.6,3.1,Baik
1.1,55.7,15.7,32.3,59.6,3.2,Sedang
6.5,45.0,5.0,27.3,68.7,2.8,Sedang
1.8,82.1,33.0,28.7,81.0,1.7,Sedang
9.4,59.8,54.0,27.9,68.7,2.8,Tidak Sehat
0.1,64.7,69.6,26.9,72.6,3.7,Sedang
9.2,63.3,37.7,26.6,82.4,1.9,Tidak Sehat
5.5,73.5,30.4,28.8,79.2,4.6,Sedang
4.8,53.6,44.6,24.2,77.7,2.0,Sedang
3.6,24.1,14.9,29.9,71.6,2.5,Baik
6.0,58.0,102.7,27.0,78.7,1.8,Tidak Sehat
4.9,37.0,5.0,25.2,73.8,2.7,Sedang
7.8,39.4,45.5,26.9,79.6,0.8,Sedang
5.3,61.7,100.7,31.1,70.0,2.0,Tidak Sehat
5.4,74.8,40.2,26.7,73.2,1.4,Sedang
4.1,50.4,34.3,28.9,65.1,2.6,Sedang
4.9,56.2,29.3,26.2,74.6,3.5,Sedang
5.8,84.0,34.6,29.9,66.9,3.1,Sedang
0.7,54.8,81.2,29.7,63.9,0.5,Tidak Sehat
1.6,102.0,5.0,32.6,77.6,4.5,Sedang
6.9,61.3,86.0,27.6,77.1,2.8,Tidak Sehat
5.4,14.8,5.0,29.7,82.8,1.7,Sedang
4.5,65.1,32.0,28.2,70.7,2.7,Sedang
5.0,57.6,27.1,31.2,79.1,2.7,Sedang
5.9,75.8,57.7,26.2,80.5,1.8,Sedang
3.7,63.5,5.0,29.9,79.4,2.7,Sedang
3.1,47.2,53.9,27.5,66.7,1.9,Sedang
5.5,25.5,100.7,27.8,76.5,2.1,Tidak Sehat
